,,Nombre,Bt.LISTA 1,Bt.LISTA 2,Rubro,Artículo
,,CASTAÑAS CAJÚ VIETNAM X KG,"23.910,00","21.090,00",FRUTOS SECOS,"1.180,00"
,,CASTAÑO DE INDIAS X60CC - EL NATURALISTA,"8.330,00","6.860,00",SUPLEMENTOS,"5.041,00"
,,CEBOLLA EN ESCAMAS X KG.,"13.870,00","11.150,00",ESPECIAS,"1.182,00"
,,CEDRON X KG,"42.860,00","34.300,00",INFUSIONES Y HIERBAS,"2.038,00"
,,CENTELLA ASIATICA X 50 NATIER,"19.880,00","16.950,00",SUPLEMENTOS,"2.187,00"
,,CENTELLA ASIATICA+GINKGOBILOBA+TEVERDE+HIBISCUS,"13.210,00","11.510,00",SUPLEMENTOS,"2.281,00"
,,CEPILLO DENTAL SRISRI,"3.900,00","3.350,00",PALADEAR HOME,"4.458,00"
,,"CEREZAS AL MARRASCHINO X 170 g AGROIANNI""""","6.920,00","5.560,00",LINEA GOURMET,"1.188,00"
,,"CEREZAS AL MARRASCHINO X 330 g AGROIANNI""""","9.230,00","7.420,00",LINEA GOURMET,"1.193,00"
,,CIRUELA PRESIDENTE X KG.,"19.660,00","15.770,00",DESHIDRATADOS,"1.206,00"
,,CIRUELAS D`AGEN C/CAROZO X KG,"11.690,00","9.370,00",DESHIDRATADOS,"1.207,00"
,,CIRUELAS TIERNIZADAS S/C X KG,"14.530,00","11.680,00",DESHIDRATADOS,"1.208,00"
,,CITRATO DE MAGNESIO XKG,"21.780,00","19.800,00",SUPLEMENTOS,"2.483,00"
,,"CITRATO DE MAGNESIO EL NATURALISTA""""","10.140,00","8.350,00",SUPLEMENTOS,"2.076,00"
,,"CITRATO DE POTASIO EL NATURALISTA""""","9.690,00","8.100,00",SUPLEMENTOS,"2.077,00"
,,CLAVO DE OLOR ENTERO X KG.,"67.650,00","54.120,00",ESPECIAS,"1.209,00"
,,CLORURO DE MAGNESIO X KG,"5.120,00","4.100,00",SUPLEMENTOS,"2.432,00"
,,COCO EN ESCAMAS X KG,"27.130,00","21.720,00","AZUCAR, CACAO Y REPOSTERIA","1.211,00"
,,COCO RALLADO X KG.,"15.830,00","12.730,00","AZUCAR, CACAO Y REPOSTERIA","1.212,00"
,,"COLA DE PAVO EXTRACTO 60 cc SOMOS SETAS""""","25.410,00","22.330,00",SUPLEMENTOS,"2.469,00"
,,"COLAGENO HIDROLIZADO CAPSULA X 50 CÁPSULAS NATIER""""","24.430,00","21.280,00",SUPLEMENTOS,"2.049,00"
,,"COLAGENO HIDROLIZADO X KG PEPTAN B 2000 LD""""","43.310,00","34.670,00",SUPLEMENTOS,"2.031,00"
,,"COLAGENO X 10 COMPRIMIDOS EL NATURALISTA""""","2.860,00","2.250,00",SUPLEMENTOS,"2.222,00"
,,COMINO MOLIDO X KG.,"14.570,00","11.660,00",ESPECIAS,"1.214,00"
,,CONDIMENTO PARA ARROZ X KG,"13.850,00","11.080,00",ESPECIAS,"1.219,00"
,,COPOS DE MAIZ C/AZUCAR X KG,"4.790,00","4.210,00",CEREALES,"1.228,00"
,,COPOS DE MAIZ X KG.,"4.180,00","3.420,00",CEREALES,"1.229,00"
,,CORAZON DE ALCAUCIL CONDIM X 330 GR,"11.090,00","8.910,00",ENCURTIDOS,"1.101,00"
,,CORAZONES DE ALCAUCIL X 300 GR,"10.010,00","8.040,00",ENCURTIDOS,"1.230,00"
,,CORDERO CON PIEL DEL LOBO X 750CC,"6.670,00","5.340,00",VINOS,"1.231,00"
,,"CORDYCEPS EXTRACTO 60CC SOMOS SETA""""","24.420,00","21.460,00",SUPLEMENTOS,"2.105,00"
,,"CORDYCEPS X 60 CAPSULAS SOMOS SETA""""","31.520,00","27.700,00",SUPLEMENTOS,"2.114,00"
,,CORIANDRO ENTERO X KG.,"3.000,00","2.360,00",ESPECIAS,"4.465,00"
,,CORIANDRO MOLIDO,"4.530,00","3.620,00",ESPECIAS,"1.233,00"
,,CRACKERS MEDITERRANEAS X100g,"5.720,00","4.880,00",SNACK,"5.000,00"
,,CRACKERS PIMENTON AHUMADO X100GR,"4.740,00","4.060,00",SNACK,"4.455,00"
,,CREATINA MONOHIDRATO,"22.680,00","18.200,00",SUPLEMENTOS,"2.238,00"
,,CUENCOS DE CERÁMICA,"15.000,00","13.880,00",PALADEAR HOME,"2.292,00"
,,"CURCUMA ACTIVADA CON PIMIENTA X 30 COMP. EL NATURALISTA""""","10.520,00","9.910,00",SUPLEMENTOS,"2.169,00"
,,CURCUMA MOLIDA X KG,"12.450,00","9.990,00",ESPECIAS,"1.236,00"
,,"CURCUMA, JENGIBRE Y PIMIENTA vitawellness x 30 cap","14.990,00","13.080,00",SUPLEMENTOS,"2.226,00"
,,"CURCUMA+PIMIENTA X 50 CÁPSULAS NATIER""""","25.670,00","22.350,00",SUPLEMENTOS,"2.051,00"
,,CURRY X KG,"15.890,00","12.720,00",ESPECIAS,"1.239,00"
,,CUSCUS X KG,"15.910,00","12.760,00",GRANOS Y LEGUMBRES,"1.240,00"
,,CHIMICHURRI X KG.,"13.780,00","11.030,00",ESPECIAS,"1.201,00"
,,CHIPA X480 GR - AFG,"10.000,00","9.000,00",PRODUCTOS CONGELADOS,"2.517,00"
,,CHIPS DE BANANA X KG,"17.840,00","14.330,00",DESHIDRATADOS,"1.202,00"
,,CHIPS SALADOS X80 GR - NUESTROS SABORES,"2.100,00","1.840,00",PRODUCTOS SIN TACC,"5.013,00"
,,CHOCOLATE 100% COBERTURA SEMIAMARGO x kg - COLONIAL,"75.690,00","64.560,00","AZUCAR, CACAO Y REPOSTERIA","2.159,00"
,,CHOCOLATE 80% COBERTURA SEMIAMARGO x kg - COLONIAL,"62.300,00","53.140,00","AZUCAR, CACAO Y REPOSTERIA","1.424,00"
,,CHUCRUT X 600 GR,"10.940,00","8.780,00",ENCURTIDOS,"1.204,00"
,,DATILES DORADOS DE EGIPTO,"10.500,00","8.670,00",DESHIDRATADOS,"5.028,00"
,,DELANTAL JEAN,"40.000,00","35.000,00",PALADEAR HOME,"2.126,00"
,,DELANTAL LINO,"35.000,00","33.000,00",PALADEAR HOME,"1.003,00"
,,DESODORANTE NATURAL - EL AMAUTA,"7.820,00","6.210,00",PALADEAR HOME,"5.009,00"
,,DIENTE DE LEON XKG,"11.980,00","9.580,00",INFUSIONES Y HIERBAS,"2.072,00"
,,"DIFUSOR ILUMINARTE"" X 125 ml""","5.650,00","5.150,00",PALADEAR HOME,"2.400,00"
,,DIFUSOR AUTO 12ml,"5.500,00","4.690,00",PALADEAR HOME,"5.035,00"
,,DIFUSORES TAO 150ml,"8.570,00","7.310,00",PALADEAR HOME,"5.045,00"
,,DULCE DE ALCAYOTA X 500 GR,"3.390,00","2.980,00","DULCES, MIEL Y CHOCOLATES","1.244,00"
,,"DULCE DE LECHE CON STEVIA DOÑA MAGDALENA SIN TACC""""","12.510,00","10.670,00","DULCES, MIEL Y CHOCOLATES","2.134,00"
,,"DULCE DE LECHE DE COCO VEGANO SIN TACC"" - DOÑA MAGDALENA""","12.140,00","10.680,00","DULCES, MIEL Y CHOCOLATES","2.145,00"
,,DULCE DE MEMBRILLO X 1 KG,"6.670,00","5.360,00","DULCES, MIEL Y CHOCOLATES","1.254,00"
,,DULCE DE MEMBRILLO X 500 GR,"7.060,00","5.690,00","DULCES, MIEL Y CHOCOLATES","1.253,00"
,,DULCE MEMBRILLO SIN AZUCAR ORIETA 400gr,"6.440,00","5.500,00",PRODUCTOS SIN TACC,"2.512,00"
,,"ELECTROLITOS SUMA"" - Sobre x 9 g""","2.940,00","2.580,00",SUPLEMENTOS,"2.485,00"
,,ENELDO SEMILLAS X KG,"12.190,00","9.770,00",SEMILLAS,"1.259,00"
,,"EQUINACEA TINTURA MADRE 60 cc EL NATURALISTA""""","7.650,00","6.530,00",SUPLEMENTOS,"2.402,00"
,,"ESENCIA ARTIFICIAL DE VAINILLA X 100 CC INDIAS"" ""","1.860,00","1.530,00","AZUCAR, CACAO Y REPOSTERIA","1.263,00"
,,ESTRAGON,"17.500,00","14.930,00",INFUSIONES Y HIERBAS,"5.040,00"
,,EUCALIPTUS X KG,"16.500,00","13.230,00",INFUSIONES Y HIERBAS,"2.032,00"
