,,Rubro,Artículo,Nombre,Bt.LISTA 1,Patente
,,FRUTOS SECOS,1430,MIX TROPICAL X KG.,"7.540,00",5 kg
,,FRUTOS SECOS,1441,NUEZ CUARTILLO X KG,"10.500,00",5 kg
,,FRUTOS SECOS,1444,NUEZ CUARTOS EXTRA LIGHT X KG.,"11.550,00",5 kg
,,FRUTOS SECOS,1445,NUEZ CUARTOS LIGTH X KG,"0,00",5 kg
,,FRUTOS SECOS,1446,NUEZ CON CASCARA X KG,"4.730,00",10 kg
,,FRUTOS SECOS,1448,NUEZ MARIPOSA AMBAR X KG,"0,00",5 kg
,,FRUTOS SECOS,1450,NUEZ MARIPOSA LIGHT X KG,"12.080,00",5 kg
,,FRUTOS SECOS,1522,PISTACHOS CON CÁSCARA X KG,"28.500,00",10 kg
,,FRUTOS SECOS,1660,MIX SALADO X KG,"9.280,00",1 kg
,,FRUTOS SECOS,1716,NUEZ MARIPOSA EXTRA LIGHT X KG,"12.600,00",5 kg
,,FRUTOS SECOS,1842,ALMENDRA NONPAREIL X KG,"19.900,00",10 kilos.
,,FRUTOS SECOS,2228,MIX SIN PASAS PREMIUM X KG,"13.310,00",5 kg
,,FRUTOS SECOS,2369,PISTACHOS NATURALES SIN CÁCARA X KG,"58.900,00",10 kg
,,FRUTOS SECOS,2445,ALMENDDRAS CARMEL X KG,"18.510,00",10 kilos.
,,FRUTOS SECOS,4452,ALMENDRA PARTIDA,"18.367,80",10 kilos.
,,FRUTOS SECOS,4453,NUEZ DE BRASIL,"34.020,00",5 kg
,,GRANOS Y LEGUMBRES,1131,ARROZ INTEGRAL X KG.,"2.190,00",1 kg
,,GRANOS Y LEGUMBRES,1133,ARROZ YAMANI X KG.,"3.000,00",1 kg
,,GRANOS Y LEGUMBRES,1240,CUSCUS X KG,"10.290,00",1 kg
,,GRANOS Y LEGUMBRES,1358,LENTEJAS TURCAS X KG,"4.210,00",1 kg
,,GRANOS Y LEGUMBRES,1359,LENTEJAS X KG.,"3.540,00",1 kg
,,GRANOS Y LEGUMBRES,1364,MAIZ BCO PISADO PARTIDO X KG,"3.010,00",1 kg
,,GRANOS Y LEGUMBRES,1366,MAIZ PISCINGALLO X KG,"2.040,00",1 kg
,,GRANOS Y LEGUMBRES,1525,POROTO ALUBIA X KG,"3.150,00",1 kg
,,GRANOS Y LEGUMBRES,1526,POROTO COLORADO X KG,"3.620,00",1 kg
,,GRANOS Y LEGUMBRES,1527,POROTO MANTECA X KG.,"4.490,00",1 kg
,,GRANOS Y LEGUMBRES,1528,POROTO MUNG X KG,"3.060,00",1 kg
,,GRANOS Y LEGUMBRES,1529,POROTO NEGRO X KG.,"2.440,00",1 kg
,,GRANOS Y LEGUMBRES,1532,POROTOS DE SOJA X KG,"2.120,00",1 kg
,,GRANOS Y LEGUMBRES,1533,POROTOS PALLARES X KG,"10.380,00",1 kg
,,GRANOS Y LEGUMBRES,1634,TRIGO BURGOL X KG,"3.010,00",1 kg
,,GRANOS Y LEGUMBRES,2335,GARBANZOS X KG,"2.380,00",1 kg
,,GRANOS Y LEGUMBRES,2367,TRIGO SARRACENO PELADO X KG,"7.940,00",1 kg
,,GRANOS Y LEGUMBRES,2379,TRIGO CANDEAL X KG,"2.880,00",1 kg
,,HARINAS,1113,ALMIDON DE MAIZ X KG,"1.830,00",1 kg
,,HARINAS,1269,FECULA DE MANDIOCA X KG,"2.900,00",1 kg
,,HARINAS,1281,GERMEN DE TRIGO NATURAL X KG.,"2.340,00",1 kg
,,HARINAS,1282,GLUTEN DE TRIGO X KG,"10.730,00",1 kg
,,HARINAS,1291,HARINA DE ALGARROBA X KG,"5.480,00",1 kg
,,HARINAS,1293,HARINA ALMENDRAS S/ PIEL X KG,"22.500,00",10 kg
,,HARINAS,1294,HARINA DE ARROZ X KG,"1.900,00",1 kg
,,HARINAS,1295,HARINA DE AVENA X KG,"2.510,00",1 kg
,,HARINAS,1296,HARINA DE CENTENO X KG,"2.110,00",1 kg
,,HARINAS,1297,HARINA DE CHIA X KG.,"2.180,00",1 kg
,,HARINAS,1298,HARINA DE COCO X KG,"7.280,00",1 kg
,,HARINAS,1299,HARINA DE GARBANZO X KG,"1.740,00",1 kg
,,HARINAS,1300,HARINA DE LINO X KG,"3.300,00",1 kg
,,HARINAS,1303,HARINA MAIZ PARA AREPAS X KG,"3.060,00",1 kg
,,HARINAS,1305,HARINA SOJA DESGR FINA X KG,"3.000,00",1 kg
,,HARINAS,1306,HARINA INTEGRAL FINA X KG.,"1.750,00",1 kg
,,HARINAS,1576,SALVADO DE AVENA X KG,"2.510,00",1 kg
